clave_municipio,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
5027,37.030057,28.237024,17.499772,22.990305,40.063016,4.517429,12.58446,13.960465,9.025812,20.104564,9.191393,5.573119,2.176183,9.531229,0.0,2.905961,0.726264,0.726819,4.443842,0.0,0.0,4.915954,26.686686,0.161634
5028,130.320668,22.57727,19.496429,17.473336,69.854478,8.877407,10.062393,48.422865,16.408058,151.720276,19.89618,30.567643,5.785104,4.678866,0.237635,7.294147,0.634374,2.93239,0.316919,0.396361,0.0,0.634426,3.010777,6.659916
5029,1.597321,0.558974,1.75699,3.114568,0.798418,1.597105,0.559112,2.795171,1.11796,1.59715,0.239533,0.559272,0.319386,0.0,0.755748,1.037972,0.319413,0.0,0.0,0.0,0.0,4.416838,2.69104,0.0
5030,20.123231,77.371818,14.19266,25.149822,17.859335,7.215838,18.242697,24.416623,9.09129,19.418072,96.196206,17.108836,4.132951,3.400468,0.728639,21.218134,3.15849,64.972682,222.846069,3.571137,113.424994,622.667822,38.582627,58.943733
5031,18.868851,108.210466,37.020419,19.137981,27.639045,34.234094,18.781702,27.552491,49.218832,39.656487,370.21759,62.832005,14.382656,2.450517,0.0,1.351221,1.82858,0.87673,11.669148,0.716111,9.688212,2.709398,10.429726,1.755857
5032,151.820606,16.144995,5.860329,8.427349,54.87081,29.362714,10.927207,24.337458,172.766213,307.817445,49.967762,18.277013,4.355131,2.375741,17.420108,19.996219,19.640506,17.342465,5.701845,0.237541,1.742174,1.921449,0.791819,0.554379
5033,9.349156,4.114014,10.08455,5.805991,5.786723,4.031744,2.010974,3.544401,7.306886,5.237253,6.474206,2.657266,4.269179,0.562474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,625.492871,1.04307
5034,4.937996,0.874399,2.067688,0.15905,0.873514,6.67092,0.795489,3.153989,0.556313,2.070342,4.701706,0.556969,0.238799,0.079927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.397981
5035,5.744649,1.535496,2.666738,1.536609,1.722873,0.565557,0.323335,0.809382,0.404006,1.535648,0.0,0.243383,0.162297,0.0,0.0,0.0,0.0,0.243435,0.0,0.0,0.0,0.0,0.0,0.649318
5036,4.616441,5.356183,1.781054,5.101809,3.161951,1.782849,1.01665,3.484307,1.781402,1.784752,1.053721,10.570783,1.458109,1.378388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5037,63.118677,2.532252,16.59531,4.426817,39.491968,13.444856,16.206415,27.409995,24.362758,40.40779,14.473258,17.373769,5.692138,32.14081,11.062348,3.715481,6.475117,2.054641,1.503856,0.0,0.87141,3.376244,0.0,0.395886
5038,98.103279,55.360373,236.480784,420.763889,159.335703,236.662969,134.837243,87.906458,49.542649,887.419977,971.158044,49.524113,16.509746,9.049394,36.662931,17.958404,19.921316,18.907886,7.015754,22.398234,4.642493,53.670307,5.109596,17.243459
6001,94.584713,8.365593,11.339966,12.610247,27.249284,27.590902,39.268778,28.288046,34.024811,33.25013,16.420354,26.756137,60.3114,30.729241,35.856611,153.436608,125.438497,102.338878,148.215751,92.391088,82.344665,49.13751,100.06728,152.302586
6002,91.917149,41.703042,26.146409,14.646578,36.575262,16.170325,107.074053,28.987055,25.068817,25.303304,17.674946,72.655618,33.20441,44.409293,31.044504,22.480677,51.497395,24.949319,25.539269,8.624669,29.564951,8.963406,72.828691,56.751032
6003,17.656515,10.305756,4.30768,11.278447,5.574558,1.773834,26.493301,6.589337,15.626759,13.514479,6.587792,7.517294,20.330836,3.835076,4.7303,14.060543,9.798089,15.879333,11.318745,9.447812,4.667281,5.088814,18.449795,6.335328
6004,101.108644,21.121773,35.482065,24.356425,31.719186,24.502751,60.808596,26.618027,30.872056,55.084744,36.617005,48.286645,18.435602,33.994401,18.521107,12.494295,18.857988,12.345459,14.59356,34.418844,24.785022,25.368715,25.790603,30.529609
6005,70.442912,16.8235,18.001227,8.307868,15.455916,13.737177,93.869305,6.504467,9.924618,18.492003,21.542836,23.958796,47.036968,16.130601,22.802313,28.288002,49.679259,84.199115,30.975065,24.653294,42.903462,30.698414,50.181693,72.087065
6006,47.959816,7.901959,2.437477,3.810221,7.873416,3.89281,8.888413,1.185383,1.523524,1.354382,5.07814,8.156922,35.652787,9.39939,15.513769,27.934239,16.403204,19.132812,12.275333,5.589198,8.047695,11.514182,18.372323,2.877889
6007,436.478706,19.281476,25.537357,19.703621,58.345156,25.372025,76.632396,48.989143,46.123264,35.179942,68.736372,24.014458,91.355128,63.203813,105.881065,164.375936,338.97565,207.829667,247.861637,307.833047,159.486284,152.540246,177.399519,232.65846
6008,14.201746,2.976886,6.674644,3.71761,2.618852,1.520717,8.616034,3.29475,5.744461,1.605198,23.375775,10.053024,32.865159,22.039973,17.405102,14.11029,41.909182,83.144473,45.033452,23.836133,23.386394,89.05252,50.187066,46.299745
6009,79.297314,11.762601,27.390038,29.465093,26.757892,75.753534,56.699781,29.149346,50.113166,37.827232,32.759804,110.361795,94.373006,55.827103,121.992523,183.17535,112.71303,125.605551,128.004339,189.512868,196.456967,84.114088,124.554841,197.869258
